total_population,california_county,approximate_location,ces_4_0_score,ces_4_0_percentile_range,ozone,pm2_5,diesel_pm,drinking_water,lead,pesticides,tox_release,traffic,cleanup_sites,groundwater_threats,haz_waste,imp_water_bodies,solid_waste,pollution_burden,pollution_burden_score,asthma,cardiovascular_disease,education,linguistic_isolation,poverty,unemployment,housing_burden,pop_char,pop_char_score,twocounty
2780,Fresno,Fresno,93.18,95-100% (highest scores),0.06,13.90634758,1.123,733.95,89.6,1,4859.094604,1037.095744,70.5,54.25,3.1,0,6,78.98,9.64,129.54,21.47,44.5,16,76,12.8,30.3,93.16,9.66,Other County
4680,San Joaquin,Stockton,86.65,95-100% (highest scores),0.046,11.88408494,0.538,389.85,77.3,63.13,519.6280009,856.395935,61.9,78.6,1.27,13,9.25,73.43,8.97,105.88,20.26,46.4,29.7,73.2,19.8,31.2,93.17,9.66,Other County
2751,Los Angeles,Los Angeles,82.39,95-100% (highest scores),0.048,12.25164028,0.781,787.94,92.56,0,3682.693278,2522.622269,38.75,20.5,11.62,7,4.85,77.67,9.48,76.1,20.87,52.2,17.1,62.6,6.4,20.3,83.75,8.69,Los Angeles
3664,Fresno,Fresno,81.33,95-100% (highest scores),0.06,13.52093888,0.174,733.95,68.39,44.57,1630.342707,690.502159,16.5,9.5,2.36,0,5.75,67.85,8.28,139.45,22.68,41.4,15.7,65.7,15.7,35.4,94.64,9.82,Other County
2689,Fresno,Fresno,80.75,95-100% (highest scores),0.06,13.81895941,1.39,733.95,75.41,16.63,1975.207988,909.6508821,10.5,28.25,0.35,0,0,66.83,8.16,139.08,22.64,43.6,20,72.7,13.7,32.7,95.4,9.9,Other County
4255,Fresno,Fresno,80.55,95-100% (highest scores),0.06,13.55379682,0.097,790.59,65.01,1321.97,3178.098409,243.2723063,15.45,20,0.56,0,5,66.35,8.1,139.35,22.68,44.2,21.7,79.5,15.4,33.3,95.84,9.94,Other County
5124,Los Angeles,Compton,79.29,95-100% (highest scores),0.042,12.21666021,0.376,459.2,91.35,1.66,14883.20671,1575.35455,22.5,63.5,1.785,7,1.7,73.27,8.95,114.33,18.18,43.3,9.7,56.8,12.6,29.6,85.44,8.86,Los Angeles
4561,Fresno,Unincorporated Fresno County area,79.17,95-100% (highest scores),0.061,13.96606425,0.203,788.31,60.36,8.99,25576.25792,438.594055,31.15,48.55,1.205,0,7,71.65,8.75,89.27,14.13,52.4,22.4,72.2,16.3,30.8,87.24,9.05,Other County
3688,San Joaquin,Stockton,77.87,95-100% (highest scores),0.046,11.87572931,0.52,389.85,79.35,16.09,369.7826741,287.4559495,54,75.85,1.32,2,9,64.15,7.83,238.03,20.57,48.6,24,78.8,14.6,33.1,95.83,9.94,Other County
2000,Los Angeles,Los Angeles,77.35,95-100% (highest scores),0.049,12.57687534,1.053,798.87,74.68,0,1894.993347,2125.866346,16.8,47.55,2.09,13,0.5,74.46,9.09,65.53,13.45,52.1,28.4,71.7,11.9,28.3,82.01,8.51,Los Angeles
3640,Los Angeles,Los Angeles,77.25,95-100% (highest scores),0.041,12.0660607,0.637,805.57,66.07,66.5,19774.78971,3455.239256,16,37.55,7.28,16,4.2,81.9,10,64.77,12.99,31.6,20.1,51.5,4.5,26.1,74.47,7.73,Los Angeles
1949,Los Angeles,South El Monte,76.91,95-100% (highest scores),0.055,12.00416809,0.551,821.08,91.11,0.01,2234.535319,905.045862,19.6,198.65,0.71,4,3,72.75,8.88,65.92,16.69,52.2,31.3,61.1,12.4,32.7,83.46,8.66,Los Angeles
6772,Los Angeles,Los Angeles,76.85,95-100% (highest scores),0.044,12.0902374,0.805,787.94,75.63,0,8878.613322,2484.965675,16.9,13.15,1.22,0,0.2,63.9,7.8,129.2,26.48,44.8,12.4,73.5,15.6,41.2,94.96,9.85,Los Angeles
5705,Los Angeles,Los Angeles,76.65,95-100% (highest scores),0.046,12.09940492,0.565,787.94,95.59,0,2762.896647,832.5616204,53.15,4.55,3.065,7,7.25,70.21,8.57,68.48,21.83,63.2,28.3,68.6,8.4,39.5,86.2,8.94,Los Angeles
2615,Los Angeles,Los Angeles,76.52,95-100% (highest scores),0.046,12.15802236,0.629,787.94,97.66,0,2607.823324,2429.418553,49.05,8.6,4.435,7,9.5,75.76,9.25,72.02,13.67,44.6,28.1,71.9,9.6,40.8,79.75,8.27,Los Angeles
2464,Los Angeles,El Monte,76.26,95-100% (highest scores),0.056,11.94103408,0.355,842.55,78.02,0.6,2118.801005,2834.65939,23.4,60.8,0.42,3,2.5,74.66,9.12,60.57,15.27,42.7,35.6,43.5,8.1,27.5,80.65,8.37,Los Angeles
5999,Los Angeles,Los Angeles,76.24,95-100% (highest scores),0.045,12.14495497,0.232,787.94,91.13,0,3873.586792,1052.626827,127.95,44.6,0.56,0,6,67.23,8.21,84.75,21.32,52.9,23.3,57.5,9.1,46,89.53,9.29,Los Angeles
2031,Los Angeles,Los Angeles,75.99,95-100% (highest scores),0.048,12.41537427,1.141,787.94,65.25,0,2566.769979,3665.685846,33.55,13.75,9.24,7,23.1,76.29,9.32,51.49,12.45,43.8,22.1,58.9,9.6,25.6,78.64,8.16,Los Angeles
3548,Los Angeles,Los Angeles,75.72,95-100% (highest scores),0.047,12.27407804,0.571,787.94,88.26,0,4157.740072,928.4647117,58.65,20,22.27,7,6.5,74.56,9.1,76.1,20.87,59,22.4,82.3,3.3,26.1,80.19,8.32,Los Angeles
2048,San Joaquin,Stockton,75.61,95-100% (highest scores),0.046,11.66075863,0.771,389.85,64.24,148.92,477.2403259,726.7471757,76.15,132.85,1.17,13,4,70.42,8.6,154.59,17.19,30.4,20.2,68.2,8.8,24.6,84.78,8.79,Other County
1820,Los Angeles,Los Angeles,75.55,95-100% (highest scores),0.047,12.25156535,0.704,787.94,64.02,0,2428.106649,1931.043768,58.7,28.3,6.875,7,15.05,76.42,9.33,134.16,14.79,25.7,24.4,44.5,8.7,21.4,78.05,8.1,Los Angeles
5191,Fresno,Fresno,75.46,95-100% (highest scores),0.06,13.68294343,0.256,733.95,63.55,2103.6,2610.47197,347.2769377,11.7,14,0.03,0,4.25,62.48,7.63,139.35,22.68,48.4,22.8,86.7,16.2,26.1,95.36,9.89,Other County
4669,Stanislaus,Unincorporated Stanislaus County area,75.31,95-100% (highest scores),0.056,12.112570849999999,0.196,856.81,53.48,6840.38,99.2162679,1013.66386,14,73.95,0.8,6,14.5,73.07,8.92,77.65,24.37,27.7,18.3,54.9,10.9,20,81.37,8.44,Other County
5498,Fresno,Fresno,75.3,95-100% (highest scores),0.06,13.88951512,0.674,733.95,91.92,1.75,3010.157725,1162.415629,12.15,24.5,2.39,0,0.5,71.96,8.79,106.01,18.98,41.5,14.3,68.8,17.8,14.8,82.61,8.57,Other County
3900,Los Angeles,South Gate,75.11,95-100% (highest scores),0.045,12.04869771,0.702,668.94,93.14,0,6048.803101,2127.781743,109.1,55.55,4.99,10,18.75,79.14,9.66,50.83,17.7,47.7,21,40.1,9.9,23.6,74.93,7.77,Los Angeles
7326,Los Angeles,Los Angeles,74.91,95-100% (highest scores),0.044,12.0998549,0.321,787.94,84.24,0,6373.313395,3154.098167,0.95,16,0.06,7,7.2,63.39,7.74,113.88,27.88,50,14.2,63.7,12.7,38.4,93.3,9.68,Los Angeles
3553,Los Angeles,Florence-Graham,74.9,95-100% (highest scores),0.044,12.07139901,0.27,718.21,85.22,0,5829.563232,994.4754349,117.3,58.5,1.405,0,2.2,65.5,8,101.27,25.19,48.9,21.4,53.4,8.9,33.1,90.28,9.37,Los Angeles
5363,San Bernardino,Ontario,74.67,95-100% (highest scores),0.062,13.78516102,0.419,796.65,90.81,0.02,1415.274027,842.733027,52.5,36,3.245,4,11,77.27,9.43,60.88,18.57,48.5,31.6,63.8,3.2,29.6,76.29,7.91,Other County
5768,Los Angeles,Los Angeles,74.44,95-100% (highest scores),0.042,12.06226955,0.693,806.8,78.27,25.99,58279.08212,2511.594785,16.65,60.3,8.38,0,15.95,78.23,9.55,70.46,13.6,25.6,18,44.3,10.3,26.8,75.13,7.79,Los Angeles
4832,Los Angeles,Long Beach,74.37,95-100% (highest scores),0.043,12.4277485,0.901,329,91.1,0.29,11027.86328,1778.158275,2,10.75,0.63,10,5,67.45,8.24,84.23,18.48,45.2,14.9,57.6,9.8,32.4,87.05,9.03,Los Angeles
4881,Los Angeles,Commerce,74.06,95-100% (highest scores),0.048,12.15074524,0.938,524.04,91.76,0,3547.573242,2783.139002,103.9,47.75,5.155,7,6.25,77.46,9.46,56.57,18.99,43.5,21.2,50.1,6.4,16.4,75.49,7.83,Los Angeles
