county,ej_variable,value
Los Angeles,Total Population,2751
Los Angeles,Poverty (% Below Poverty Level) ,62.6
Los Angeles,Asthma ,76.1
Los Angeles,Annual PM 2.5 Concentrations,12.25164028
Los Angeles,Cardiovascular Disease,20.87
Los Angeles,Drinking Water Contaminant Index,787.94
Los Angeles,Imparired Water Bodies,7
Los Angeles,Groundwater Threats,20.5
Los Angeles,Pollution Burden Score,9.48
Los Angeles,Annual Ozone Concentration,0.048
Los Angeles,Total Population,5124
Los Angeles,Poverty (% Below Poverty Level),56.8
Los Angeles,Asthma,114.33
Los Angeles,Annual PM 2.5 Concentrations,12.21666021
Los Angeles,Cardiovascular Disease,18.18
Los Angeles,Drinking Water Contaminant Index,459.2
Los Angeles,Imparired Water Bodies,7
Los Angeles,Groundwater Threats,63.5
Los Angeles,Pollution Burden Score,8.95
Los Angeles,Annual Ozone Concentration,0.042
Los Angeles,Total Population,2000
Los Angeles,Poverty (% Below Poverty Level),71.7
Los Angeles,Asthma,65.53
Los Angeles,Annual PM 2.5 Concentrations,12.57687534
Los Angeles,Cardiovascular Disease,13.45
Los Angeles,Drinking Water Contaminant Index,798.87
Los Angeles,Imparired Water Bodies,13
Los Angeles,Groundwater Threats,47.55
Los Angeles,Pollution Burden Score,9.09
Los Angeles,Annual Ozone Concentration,0.049
Los Angeles,Total Population,3640
Los Angeles,Poverty (% Below Poverty Level),51.5
Los Angeles,Asthma,64.77
Los Angeles,Annual PM 2.5 Concentrations,12.0660607
Los Angeles,Cardiovascular Disease,12.99
Los Angeles,Drinking Water Contaminant Index,805.57
Los Angeles,Imparired Water Bodies,16
Los Angeles,Groundwater Threats,37.55
Los Angeles,Pollution Burden Score,10
Los Angeles,Annual Ozone Concentration,0.041
Los Angeles,Total Population,1949
Los Angeles,Poverty (% Below Poverty Level),61.1
Los Angeles,Asthma,65.92
Los Angeles,Annual PM 2.5 Concentrations,12.00416809
Los Angeles,Cardiovascular Disease,16.69
Los Angeles,Drinking Water Contaminant Index,821.08
Los Angeles,Imparired Water Bodies,4
Los Angeles,Groundwater Threats,198.65
Los Angeles,Pollution Burden Score,8.88
Los Angeles,Annual Ozone Concentration,0.055
Los Angeles,Total Population,6772
Los Angeles,Poverty (% Below Poverty Level),73.5
Los Angeles,Asthma,129.2
Los Angeles,Annual PM 2.5 Concentrations,12.0902374
Los Angeles,Cardiovascular Disease,26.48
Los Angeles,Drinking Water Contaminant Index,787.94
Los Angeles,Imparired Water Bodies,0
Los Angeles,Groundwater Threats,13.15
Los Angeles,Pollution Burden Score,7.8
Los Angeles,Annual Ozone Concentration,0.044
Los Angeles,Total Population,5705
Los Angeles,Poverty (% Below Poverty Level),68.6
Los Angeles,Asthma,68.48
Los Angeles,Annual PM 2.5 Concentrations,12.09940492
Los Angeles,Cardiovascular Disease,21.83
Los Angeles,Drinking Water Contaminant Index,787.94
Los Angeles,Imparired Water Bodies,7
Los Angeles,Groundwater Threats,4.55
Los Angeles,Pollution Burden Score,8.57
Los Angeles,Annual Ozone Concentration,0.046
Los Angeles,Total Population,2615
Los Angeles,Poverty (% Below Poverty Level),71.9
Los Angeles,Asthma,72.02
Los Angeles,Annual PM 2.5 Concentrations,12.15802236
Los Angeles,Cardiovascular Disease,13.67
Los Angeles,Drinking Water Contaminant Index,787.94
Los Angeles,Imparired Water Bodies,7
Los Angeles,Groundwater Threats,8.6
Los Angeles,Pollution Burden Score,9.25
Los Angeles,Annual Ozone Concentration,0.046
Los Angeles,Total Population,2464
Los Angeles,Poverty (% Below Poverty Level),43.5
Los Angeles,Asthma,60.57
Los Angeles,Annual PM 2.5 Concentrations,11.94103408
Los Angeles,Cardiovascular Disease,15.27
Los Angeles,Drinking Water Contaminant Index,842.55
Los Angeles,Imparired Water Bodies,3
Los Angeles,Groundwater Threats,60.8
Los Angeles,Pollution Burden Score,9.12
Los Angeles,Annual Ozone Concentration,0.056
Los Angeles,Total Population,5999
Los Angeles,Poverty (% Below Poverty Level),57.5
Los Angeles,Asthma,84.75
Los Angeles,Annual PM 2.5 Concentrations,12.14495497
Los Angeles,Cardiovascular Disease,21.32
Los Angeles,Drinking Water Contaminant Index,787.94
Los Angeles,Imparired Water Bodies,0
Los Angeles,Groundwater Threats,44.6
Los Angeles,Pollution Burden Score,8.21
Los Angeles,Annual Ozone Concentration,0.045
