State,AreaCurrentPercent,AreaCurrent,PopulationCurrent,PopulationCurrentPercent,PercentChangeFromWAve,AreaChangeFromWAve,StatisticFormatID,USDMLevelID,USDMLevel,Name,AreaMiles,MapDate
CA,100.00,748.73,"1,510,270.98",100.00,0.00,0.00,1,1,D0,Alameda County,748.73,2020-12-29
CA,100.00,748.73,"1,510,270.98",100.00,0.00,0.00,1,2,D1,Alameda County,748.73,2020-12-29
CA,100.00,748.73,"1,510,270.98",100.00,0.00,0.00,1,3,D2,Alameda County,748.73,2020-12-29
CA,100.00,748.73,"1,510,270.98",100.00,0.00,0.00,1,1,D0,Alameda County,748.73,2021-01-05
CA,100.00,748.73,"1,510,270.98",100.00,0.00,0.00,1,2,D1,Alameda County,748.73,2021-01-05
CA,100.00,748.73,"1,510,270.98",100.00,0.00,0.00,1,3,D2,Alameda County,748.73,2021-01-05
CA,100.00,748.73,"1,510,270.98",100.00,0.00,0.00,1,1,D0,Alameda County,748.73,2021-01-12
CA,100.00,748.73,"1,510,270.98",100.00,0.00,0.00,1,2,D1,Alameda County,748.73,2021-01-12
CA,100.00,748.73,"1,510,270.98",100.00,0.00,0.00,1,3,D2,Alameda County,748.73,2021-01-12
CA,100.00,748.73,"1,510,270.98",100.00,0.00,0.00,1,1,D0,Alameda County,748.73,2021-01-19
CA,100.00,748.73,"1,510,270.98",100.00,0.00,0.00,1,2,D1,Alameda County,748.73,2021-01-19
CA,100.00,748.73,"1,510,270.98",100.00,0.00,0.00,1,3,D2,Alameda County,748.73,2021-01-19
CA,100.00,748.73,"1,510,270.98",100.00,0.00,0.00,1,1,D0,Alameda County,748.73,2021-01-26
CA,100.00,748.73,"1,510,270.98",100.00,0.00,0.00,1,2,D1,Alameda County,748.73,2021-01-26
CA,100.00,748.73,"1,510,270.98",100.00,0.00,0.00,1,3,D2,Alameda County,748.73,2021-01-26
CA,100.00,748.73,"1,510,270.98",100.00,0.00,0.00,1,1,D0,Alameda County,748.73,2021-02-02
CA,100.00,748.73,"1,510,270.98",100.00,0.00,0.00,1,2,D1,Alameda County,748.73,2021-02-02
CA,100.00,748.73,"1,510,270.98",100.00,0.00,0.00,1,1,D0,Alameda County,748.73,2021-02-09
CA,100.00,748.73,"1,510,270.98",100.00,0.00,0.00,1,2,D1,Alameda County,748.73,2021-02-09
CA,100.00,748.73,"1,510,270.98",100.00,0.00,0.00,1,1,D0,Alameda County,748.73,2021-02-16
CA,100.00,748.73,"1,510,270.98",100.00,0.00,0.00,1,2,D1,Alameda County,748.73,2021-02-16
CA,100.00,748.73,"1,510,270.98",100.00,0.00,0.00,1,1,D0,Alameda County,748.73,2021-02-23
CA,100.00,748.73,"1,510,270.98",100.00,0.00,0.00,1,2,D1,Alameda County,748.73,2021-02-23
