State,AreaCurrentPercent,AreaCurrent,PopulationCurrent,PopulationCurrentPercent,PercentChangeFromWAve,AreaChangeFromWAve,StatisticFormatID,USDMLevelID,USDMLevel,Name,AreaMiles,MapDate
CA,11.14,83.41,"168,248.60",11.14,0.00,0.00,1,4,D3,Alameda County,748.73,2021-04-20
CA,1.78,13.20,20.95,1.78,0.00,0.00,1,3,D2,Alpine County,740.67,2021-02-02
CA,1.78,13.20,20.95,1.78,0.00,0.00,1,3,D2,Alpine County,740.67,2021-02-09
CA,1.78,13.20,20.95,1.78,0.00,0.00,1,3,D2,Alpine County,740.67,2021-02-16
CA,1.78,13.20,20.95,1.78,0.00,0.00,1,3,D2,Alpine County,740.67,2021-02-23
CA,1.78,13.20,20.95,1.78,0.00,0.00,1,3,D2,Alpine County,740.67,2021-03-02
CA,0.25,1.54,96.78,0.25,0.00,0.00,1,5,D4,Amador County,605.60,2021-11-23
CA,0.25,1.54,96.78,0.25,0.00,0.00,1,5,D4,Amador County,605.60,2021-11-30
CA,0.25,1.54,96.78,0.25,0.00,0.00,1,5,D4,Amador County,605.60,2021-12-07
CA,0.25,1.54,96.78,0.25,0.00,0.00,1,5,D4,Amador County,605.60,2021-12-14
CA,0.25,1.54,96.78,0.25,0.00,0.00,1,5,D4,Amador County,605.60,2021-12-21
CA,3.92,40.61,"1,785.56",3.92,0.00,0.00,1,5,D4,Calaveras County,"1,036.62",2021-05-25
CA,3.92,40.61,"1,785.56",3.92,0.00,0.00,1,5,D4,Calaveras County,"1,036.62",2021-06-01
CA,3.92,40.61,"1,785.56",3.92,0.00,0.00,1,5,D4,Calaveras County,"1,036.62",2021-06-08
CA,3.92,40.61,"1,785.56",3.92,0.00,0.00,1,5,D4,Calaveras County,"1,036.62",2021-06-15
CA,3.92,40.61,"1,785.56",3.92,0.00,0.00,1,5,D4,Calaveras County,"1,036.62",2021-06-22
CA,3.92,40.61,"1,785.56",3.92,0.00,0.00,1,5,D4,Calaveras County,"1,036.62",2021-06-29
CA,3.92,40.61,"1,785.56",3.92,0.00,0.00,1,5,D4,Calaveras County,"1,036.62",2021-07-06
CA,3.92,40.61,"1,785.56",3.92,0.00,0.00,1,5,D4,Calaveras County,"1,036.62",2021-07-13
CA,3.92,40.61,"1,785.56",3.92,0.00,0.00,1,5,D4,Calaveras County,"1,036.62",2021-07-20
CA,1.87,19.10,535.57,1.87,0.00,0.00,1,4,D3,Del Norte County,"1,020.10",2020-12-29
CA,1.87,19.10,535.57,1.87,0.00,0.00,1,4,D3,Del Norte County,"1,020.10",2021-01-05
CA,1.87,19.10,535.57,1.87,0.00,0.00,1,4,D3,Del Norte County,"1,020.10",2021-01-12
CA,8.98,91.62,"2,569.55",8.98,0.00,0.00,1,3,D2,Del Norte County,"1,020.10",2021-01-19
CA,8.98,91.62,"2,569.55",8.98,0.00,0.00,1,3,D2,Del Norte County,"1,020.10",2021-01-26
CA,1.88,19.23,539.20,1.88,0.00,0.00,1,3,D2,Del Norte County,"1,020.10",2021-02-02
CA,5.07,51.72,"1,450.56",5.07,0.00,0.00,1,2,D1,Del Norte County,"1,020.10",2021-02-16
CA,5.07,51.72,"1,450.56",5.07,0.00,0.00,1,2,D1,Del Norte County,"1,020.10",2021-02-23
CA,5.07,51.72,"1,450.56",5.07,0.00,0.00,1,2,D1,Del Norte County,"1,020.10",2021-03-02
CA,5.07,51.72,"1,450.56",5.07,0.00,0.00,1,2,D1,Del Norte County,"1,020.10",2021-03-09
CA,3.03,30.86,865.50,3.03,0.00,0.00,1,2,D1,Del Norte County,"1,020.10",2021-03-16
CA,2.69,27.40,768.50,2.69,0.00,0.00,1,2,D1,Del Norte County,"1,020.10",2021-03-23
CA,2.69,27.40,768.50,2.69,0.00,0.00,1,2,D1,Del Norte County,"1,020.10",2021-03-30
CA,2.69,27.40,768.50,2.69,0.00,0.00,1,2,D1,Del Norte County,"1,020.10",2021-04-06
CA,2.69,27.40,768.50,2.69,0.00,0.00,1,2,D1,Del Norte County,"1,020.10",2021-04-13
CA,5.96,60.82,"1,705.88",5.96,0.00,0.00,1,3,D2,Del Norte County,"1,020.10",2021-11-09
CA,5.96,60.82,"1,705.88",5.96,0.00,0.00,1,3,D2,Del Norte County,"1,020.10",2021-11-16
CA,5.96,60.82,"1,705.88",5.96,0.00,0.00,1,3,D2,Del Norte County,"1,020.10",2021-11-23
CA,5.96,60.82,"1,705.88",5.96,0.00,0.00,1,3,D2,Del Norte County,"1,020.10",2021-11-30
CA,5.96,60.82,"1,705.88",5.96,0.00,0.00,1,3,D2,Del Norte County,"1,020.10",2021-12-07
CA,5.96,60.82,"1,705.88",5.96,0.00,0.00,1,3,D2,Del Norte County,"1,020.10",2021-12-14
CA,5.87,59.92,"1,680.42",5.87,0.00,0.00,1,3,D2,Del Norte County,"1,020.10",2021-12-21
CA,1.15,11.71,328.34,1.15,0.00,0.00,1,3,D2,Del Norte County,"1,020.10",2021-12-28
CA,1.08,19.31,"1,958.32",1.08,0.00,0.00,1,3,D2,El Dorado County,"1,785.42",2021-02-02
CA,1.08,19.31,"1,958.32",1.08,0.00,0.00,1,3,D2,El Dorado County,"1,785.42",2021-02-09
CA,1.08,19.31,"1,958.32",1.08,0.00,0.00,1,3,D2,El Dorado County,"1,785.42",2021-02-16
CA,1.08,19.31,"1,958.32",1.08,0.00,0.00,1,3,D2,El Dorado County,"1,785.42",2021-02-23
CA,1.08,19.31,"1,958.32",1.08,0.00,0.00,1,3,D2,El Dorado County,"1,785.42",2021-03-02
CA,2.00,35.66,"3,615.89",2.00,0.00,0.00,1,4,D3,El Dorado County,"1,785.42",2021-12-28
CA,1.56,94.11,"14,556.70",1.56,0.00,0.00,1,4,D3,Fresno County,"6,015.35",2021-02-02
CA,1.56,94.11,"14,556.70",1.56,0.00,0.00,1,4,D3,Fresno County,"6,015.35",2021-02-09
CA,1.56,94.11,"14,556.70",1.56,0.00,0.00,1,4,D3,Fresno County,"6,015.35",2021-02-16
CA,0.69,24.71,925.90,0.69,0.00,0.00,1,4,D3,Humboldt County,"3,592.15",2020-12-29
CA,0.69,24.71,925.90,0.69,0.00,0.00,1,4,D3,Humboldt County,"3,592.15",2021-01-05
CA,0.69,24.71,925.90,0.69,0.00,0.00,1,4,D3,Humboldt County,"3,592.15",2021-01-12
CA,0.69,24.71,925.90,0.69,0.00,0.00,1,4,D3,Humboldt County,"3,592.15",2021-01-19
CA,0.69,24.71,925.90,0.69,0.00,0.00,1,4,D3,Humboldt County,"3,592.15",2021-01-26
CA,1.56,55.95,"2,096.77",1.56,0.00,0.00,1,3,D2,Humboldt County,"3,592.15",2021-02-23
CA,1.56,55.95,"2,096.77",1.56,0.00,0.00,1,3,D2,Humboldt County,"3,592.15",2021-03-02
CA,1.56,55.95,"2,096.77",1.56,0.00,0.00,1,3,D2,Humboldt County,"3,592.15",2021-03-09
CA,1.56,55.95,"2,096.77",1.56,0.00,0.00,1,3,D2,Humboldt County,"3,592.15",2021-03-16
CA,1.33,47.88,"1,794.43",1.33,0.00,0.00,1,3,D2,Humboldt County,"3,592.15",2021-03-23
CA,1.33,47.88,"1,794.43",1.33,0.00,0.00,1,3,D2,Humboldt County,"3,592.15",2021-03-30
CA,1.33,47.88,"1,794.43",1.33,0.00,0.00,1,3,D2,Humboldt County,"3,592.15",2021-04-06
CA,1.33,47.88,"1,794.43",1.33,0.00,0.00,1,3,D2,Humboldt County,"3,592.15",2021-04-13
CA,1.57,56.38,"2,113.09",1.57,0.00,0.00,1,3,D2,Humboldt County,"3,592.15",2021-04-20
CA,0.22,10.10,391.09,0.22,0.00,0.00,1,4,D3,Imperial County,"4,508.75",2020-12-29
CA,0.22,10.10,391.09,0.22,0.00,0.00,1,4,D3,Imperial County,"4,508.75",2021-01-05
CA,0.22,10.10,391.09,0.22,0.00,0.00,1,4,D3,Imperial County,"4,508.75",2021-01-12
CA,0.22,10.10,391.09,0.22,0.00,0.00,1,4,D3,Imperial County,"4,508.75",2021-01-19
CA,0.31,13.99,541.69,0.31,0.00,0.00,1,3,D2,Imperial County,"4,508.75",2021-09-07
CA,0.31,13.99,541.69,0.31,0.00,0.00,1,3,D2,Imperial County,"4,508.75",2021-09-14
CA,0.31,13.99,541.69,0.31,0.00,0.00,1,3,D2,Imperial County,"4,508.75",2021-09-21
CA,0.31,13.99,541.69,0.31,0.00,0.00,1,3,D2,Imperial County,"4,508.75",2021-09-28
CA,0.31,13.99,541.69,0.31,0.00,0.00,1,3,D2,Imperial County,"4,508.75",2021-10-05
CA,0.31,13.99,541.69,0.31,0.00,0.00,1,3,D2,Imperial County,"4,508.75",2021-10-12
CA,0.19,8.55,330.90,0.19,0.00,0.00,1,3,D2,Imperial County,"4,508.75",2021-10-19
CA,0.19,8.55,330.90,0.19,0.00,0.00,1,3,D2,Imperial County,"4,508.75",2021-10-26
CA,0.19,8.55,330.90,0.19,0.00,0.00,1,3,D2,Imperial County,"4,508.75",2021-11-02
CA,0.19,8.55,330.90,0.19,0.00,0.00,1,3,D2,Imperial County,"4,508.75",2021-11-09
CA,0.19,8.55,330.90,0.19,0.00,0.00,1,3,D2,Imperial County,"4,508.75",2021-11-16
CA,0.19,8.55,330.90,0.19,0.00,0.00,1,3,D2,Imperial County,"4,508.75",2021-11-23
CA,0.19,8.55,330.90,0.19,0.00,0.00,1,3,D2,Imperial County,"4,508.75",2021-11-30
CA,0.19,8.55,330.90,0.19,0.00,0.00,1,3,D2,Imperial County,"4,508.75",2021-12-07
CA,0.19,8.55,330.90,0.19,0.00,0.00,1,3,D2,Imperial County,"4,508.75",2021-12-14
CA,0.21,9.34,361.53,0.21,0.00,0.00,1,3,D2,Imperial County,"4,508.75",2021-12-21
CA,0.64,65.70,119.04,0.64,0.00,0.00,1,5,D4,Inyo County,"10,236.26",2020-12-29
CA,0.64,65.70,119.04,0.64,0.00,0.00,1,5,D4,Inyo County,"10,236.26",2021-01-05
CA,0.64,65.70,119.04,0.64,0.00,0.00,1,5,D4,Inyo County,"10,236.26",2021-01-12
CA,0.64,65.70,119.04,0.64,0.00,0.00,1,5,D4,Inyo County,"10,236.26",2021-01-19
CA,0.01,0.58,59.72,0.01,0.00,0.00,1,4,D3,Kern County,"8,154.13",2020-12-29
CA,0.01,0.58,59.72,0.01,0.00,0.00,1,4,D3,Kern County,"8,154.13",2021-01-05
CA,3.58,49.69,"5,481.13",3.58,0.00,0.00,1,3,D2,Kings County,"1,387.02",2020-12-29
CA,3.58,49.69,"5,481.13",3.58,0.00,0.00,1,3,D2,Kings County,"1,387.02",2021-01-05
CA,4.62,64.09,"7,069.28",4.62,0.00,0.00,1,4,D3,Kings County,"1,387.02",2021-04-20
CA,4.62,64.09,"7,069.28",4.62,0.00,0.00,1,4,D3,Kings County,"1,387.02",2021-04-27
CA,0.32,4.25,206.49,0.32,0.00,0.00,1,4,D3,Lake County,"1,330.36",2021-12-28
CA,0.78,36.76,270.86,0.78,0.00,0.00,1,5,D4,Lassen County,"4,736.26",2021-07-27
CA,0.78,36.76,270.86,0.78,0.00,0.00,1,5,D4,Lassen County,"4,736.26",2021-08-03
CA,0.78,36.76,270.86,0.78,0.00,0.00,1,5,D4,Lassen County,"4,736.26",2021-08-10
CA,0.81,38.51,283.74,0.81,0.00,0.00,1,5,D4,Lassen County,"4,736.26",2021-08-17
CA,0.81,38.51,283.74,0.81,0.00,0.00,1,5,D4,Lassen County,"4,736.26",2021-08-24
CA,0.81,38.51,283.74,0.81,0.00,0.00,1,5,D4,Lassen County,"4,736.26",2021-08-31
CA,0.81,38.51,283.74,0.81,0.00,0.00,1,5,D4,Lassen County,"4,736.26",2021-09-07
CA,0.81,38.51,283.74,0.81,0.00,0.00,1,5,D4,Lassen County,"4,736.26",2021-09-14
CA,0.81,38.51,283.74,0.81,0.00,0.00,1,5,D4,Lassen County,"4,736.26",2021-09-21
CA,0.81,38.51,283.74,0.81,0.00,0.00,1,5,D4,Lassen County,"4,736.26",2021-09-28
CA,0.81,38.51,283.74,0.81,0.00,0.00,1,5,D4,Lassen County,"4,736.26",2021-10-05
CA,0.81,38.51,283.74,0.81,0.00,0.00,1,5,D4,Lassen County,"4,736.26",2021-10-12
CA,0.81,38.51,283.74,0.81,0.00,0.00,1,5,D4,Lassen County,"4,736.26",2021-10-19
CA,0.04,2.02,14.88,0.04,0.00,0.00,1,5,D4,Lassen County,"4,736.26",2021-10-26
CA,0.04,2.02,14.88,0.04,0.00,0.00,1,5,D4,Lassen County,"4,736.26",2021-11-02
CA,0.26,5.63,395.13,0.26,0.00,0.00,1,4,D3,Madera County,"2,150.09",2021-01-12
CA,0.26,5.63,395.13,0.26,0.00,0.00,1,4,D3,Madera County,"2,150.09",2021-01-19
CA,0.26,5.63,395.13,0.26,0.00,0.00,1,4,D3,Madera County,"2,150.09",2021-01-26
CA,3.24,17.15,"8,182.38",3.24,0.00,0.00,1,3,D2,Marin County,528.89,2021-02-02
CA,3.24,17.15,"8,182.38",3.24,0.00,0.00,1,3,D2,Marin County,528.89,2021-02-09
CA,3.24,17.15,"8,182.38",3.24,0.00,0.00,1,3,D2,Marin County,528.89,2021-02-16
CA,3.24,17.15,"8,182.38",3.24,0.00,0.00,1,3,D2,Marin County,528.89,2021-02-23
CA,3.24,17.15,"8,182.38",3.24,0.00,0.00,1,3,D2,Marin County,528.89,2021-03-02
CA,3.24,17.15,"8,182.38",3.24,0.00,0.00,1,3,D2,Marin County,528.89,2021-03-09
CA,3.24,17.15,"8,182.38",3.24,0.00,0.00,1,3,D2,Marin County,528.89,2021-03-16
CA,4.07,21.53,"10,275.18",4.07,0.00,0.00,1,3,D2,Marin County,528.89,2021-03-23
CA,4.07,21.53,"10,275.18",4.07,0.00,0.00,1,3,D2,Marin County,528.89,2021-03-30
CA,4.07,21.53,"10,275.18",4.07,0.00,0.00,1,3,D2,Marin County,528.89,2021-04-06
CA,4.07,21.53,"10,275.18",4.07,0.00,0.00,1,3,D2,Marin County,528.89,2021-04-13
CA,0.50,2.64,"1,261.82",0.50,0.00,0.00,1,4,D3,Marin County,528.89,2021-04-20
CA,3.36,17.78,"8,486.62",3.36,0.00,0.00,1,5,D4,Marin County,528.89,2021-10-26
CA,3.36,17.78,"8,486.62",3.36,0.00,0.00,1,5,D4,Marin County,528.89,2021-11-02
