name,mean_usdm,median_usdm,max_usdm,severe_drought_prop,sd_usdm
Alameda,1,1,3,0.18681318681318682,1.0851798019116845
Alpine,1,1,3,0.1286549707602339,1.0210714271318753
Amador,1,1,3,0.18579234972677597,1.0833847204068265
Butte,2,1,4,0.22815533980582525,1.2165972740816349
Calaveras,1,1,3,0.18579234972677597,1.0833847204068265
Colusa,1,1,3,0.205,1.0898803585623054
Contra Costa,2,1,4,0.291866028708134,1.3502068435713623
Del Norte,1,1,2,0,0.7179581586177382
El Dorado,1,1,3,0.1286549707602339,1.0210714271318753
Fresno,1,1,3,0.18125,1.1045930409718876
Glenn,1,1,3,0.205,1.0898803585623054
Humboldt,1,1,2,0,0.7148626818388248
Imperial,0,0,1,0,0.4907593034595512
Inyo,1,1,3,0.20100502512562815,1.0867410180454775
Kern,1,1,3,0.20359281437125748,1.1242357061993598
Kings,2,1,4,0.2810810810810811,1.364524512251737
Lake,1,1,3,0.205,1.0898803585623054
Lassen,1,1,3,0.1358695652173913,1.0253962141806812
Los Angeles,0,0,1,0,0.5004293689069463
Madera,2,1,4,0.2722772277227723,1.3174980804765912
Marin,2,1,4,0.270935960591133,1.3073315337587952
Mariposa,2,1,4,0.2696078431372549,1.3116198989773733
Mendocino,1,1,3,0.09868421052631579,1.0028714438046804
Merced,1,1,3,0.17058823529411765,1.0730375931422689
Modoc,1,1,3,0.0755813953488372,0.9492064011887317
Mono,1,1,3,0.08875739644970414,0.9676363419003257
Monterey,1,1,3,0.18238993710691823,1.1079034451550014
Napa,2,2,4,0.2672811059907834,1.2914240477093029
Nevada,1,1,3,0.1286549707602339,1.0210714271318753
Orange,1,1,2,0,0.8078112744435486
Placer,1,1,3,0.1286549707602339,1.0210714271318753
Plumas,1,1,3,0.1358695652173913,1.0253962141806812
Riverside,1,1,2,0,0.7281628459494006
Sacramento,2,1,4,0.2904761904761905,1.3471825743324835
San Benito,1,1,3,0.18125,1.1045930409718876
San Bernardino,1,1,2,0,0.8110368768900423
San Diego,0,0,1,0,0.4907593034595512
San Francisco,1,1,2,0,0.7908457896056997
San Joaquin,2,1,4,0.26,1.2828595570895824
San Luis Obispo,1,1,3,0.18238993710691823,1.1079034451550014
San Mateo,1,1,3,0.20238095238095238,1.1211220905613648
Santa Barbara,0,0,1,0,0.5004293689069463
Santa Clara,1,1,3,0.20238095238095238,1.1211220905613648
Santa Cruz,1,1,3,0.20238095238095238,1.1211220905613648
Shasta,1,1,3,0.12154696132596685,1.0091356791370047
Sierra,1,1,3,0.1286549707602339,1.0210714271318753
Siskiyou,1,1,2,0,0.7070488667115592
Solano,2,2,4,0.28054298642533937,1.3180392552590936
Sonoma,1,1,4,0.23316062176165803,1.2248109719864715
Stanislaus,1,1,3,0.18888888888888888,1.0887808887521762
Sutter,2,2,4,0.28378378378378377,1.318040379924984
Tehama,1,1,3,0.12154696132596685,1.0091356791370047
Trinity,1,1,3,0.09259259259259259,0.9716477648211761
Tulare,2,1,4,0.2682926829268293,1.308709740941584
Tuolumne,1,1,3,0.18579234972677597,1.0833847204068265
Ventura,0,0,1,0,0.5004293689069463
Yolo,2,2,4,0.3291139240506329,1.3152242299638603
Yuba,2,1,4,0.22815533980582525,1.2165972740816349
