total_population,california_county,approximate_location,ces_4_0_score,ces_4_0_percentile_range,ozone,pm2_5,diesel_pm,drinking_water,lead,pesticides,tox_release,traffic,cleanup_sites,groundwater_threats,haz_waste,imp_water_bodies,solid_waste,pollution_burden,pollution_burden_score,asthma,cardiovascular_disease,education,linguistic_isolation,poverty,unemployment,housing_burden,pop_char,pop_char_score,twocounty
2751,Los Angeles,Los Angeles,82.39,95-100% (highest scores),0.048,12.25164028,0.781,787.94,92.56,0,3682.693278,2522.622269,38.75,20.5,11.62,7,4.85,77.67,9.48,76.1,20.87,52.2,17.1,62.6,6.4,20.3,83.75,8.69,Los Angeles
5124,Los Angeles,Compton,79.29,95-100% (highest scores),0.042,12.21666021,0.376,459.2,91.35,1.66,14883.20671,1575.35455,22.5,63.5,1.785,7,1.7,73.27,8.95,114.33,18.18,43.3,9.7,56.8,12.6,29.6,85.44,8.86,Los Angeles
2000,Los Angeles,Los Angeles,77.35,95-100% (highest scores),0.049,12.57687534,1.053,798.87,74.68,0,1894.993347,2125.866346,16.8,47.55,2.09,13,0.5,74.46,9.09,65.53,13.45,52.1,28.4,71.7,11.9,28.3,82.01,8.51,Los Angeles
3640,Los Angeles,Los Angeles,77.25,95-100% (highest scores),0.041,12.0660607,0.637,805.57,66.07,66.5,19774.78971,3455.239256,16,37.55,7.28,16,4.2,81.9,10,64.77,12.99,31.6,20.1,51.5,4.5,26.1,74.47,7.73,Los Angeles
1949,Los Angeles,South El Monte,76.91,95-100% (highest scores),0.055,12.00416809,0.551,821.08,91.11,0.01,2234.535319,905.045862,19.6,198.65,0.71,4,3,72.75,8.88,65.92,16.69,52.2,31.3,61.1,12.4,32.7,83.46,8.66,Los Angeles
6772,Los Angeles,Los Angeles,76.85,95-100% (highest scores),0.044,12.0902374,0.805,787.94,75.63,0,8878.613322,2484.965675,16.9,13.15,1.22,0,0.2,63.9,7.8,129.2,26.48,44.8,12.4,73.5,15.6,41.2,94.96,9.85,Los Angeles
5705,Los Angeles,Los Angeles,76.65,95-100% (highest scores),0.046,12.09940492,0.565,787.94,95.59,0,2762.896647,832.5616204,53.15,4.55,3.065,7,7.25,70.21,8.57,68.48,21.83,63.2,28.3,68.6,8.4,39.5,86.2,8.94,Los Angeles
2615,Los Angeles,Los Angeles,76.52,95-100% (highest scores),0.046,12.15802236,0.629,787.94,97.66,0,2607.823324,2429.418553,49.05,8.6,4.435,7,9.5,75.76,9.25,72.02,13.67,44.6,28.1,71.9,9.6,40.8,79.75,8.27,Los Angeles
2464,Los Angeles,El Monte,76.26,95-100% (highest scores),0.056,11.94103408,0.355,842.55,78.02,0.6,2118.801005,2834.65939,23.4,60.8,0.42,3,2.5,74.66,9.12,60.57,15.27,42.7,35.6,43.5,8.1,27.5,80.65,8.37,Los Angeles
5999,Los Angeles,Los Angeles,76.24,95-100% (highest scores),0.045,12.14495497,0.232,787.94,91.13,0,3873.586792,1052.626827,127.95,44.6,0.56,0,6,67.23,8.21,84.75,21.32,52.9,23.3,57.5,9.1,46,89.53,9.29,Los Angeles
