county,avg_acres_burned,avg_fires_per_year,total_acres_burned,total_fires
Alpine,58007.012310399994,5,290035.06155200006,5
Amador,43.411942133333326,3,130.23582639999998,3
Butte,321344.7853495333,3,964034.3560486,3
Calaveras,402.15819550000003,2,804.3163910000001,2
Colusa,5.5589447,1,5.5589447,1
Contra Costa,89.4123217,3,268.2369651,3
El Dorado,30.095567850000002,6,180.5734071,6
Fresno,50.3852659,14,705.3937226,14
Glenn,219.7281647,1,219.7281647,1
Humboldt,818.8870824333333,3,2456.6612473,3
Imperial,121.5283537,4,486.1134148,4
Inyo,183.61902645555557,9,1652.5712381000003,9
Kern,884.5601979131579,38,33613.287520699996,38
Kings,92.3546066,1,92.3546066,1
Lake,11.08847651111111,9,99.7962886,9
Lassen,15032.386458185714,7,105226.70520730001,7
Los Angeles,139.86635578666667,30,4195.990673599999,30
Madera,4838.7831898,2,9677.5663796,2
Mariposa,205.43014638333335,6,1232.5808783,6
Mendocino,111.27074470000001,5,556.3537235,5
Modoc,260.6273458444444,9,2345.6461126000004,9
Mono,1503.29712105,2,3006.5942421,2
Monterey,701.8972116666666,6,4211.38327,6
Napa,35.889941449999995,6,215.3396487,6
Nevada,893.5100361666666,3,2680.5301084999996,3
Orange,7.732994214285715,7,54.13095949999999,7
Placer,132.226891025,4,528.9075641000001,4
Plumas,168.34003685,4,673.3601474,4
Riverside,304.49670209,10,3044.9670208999996,10
San Benito,74.81096685,2,149.6219337,2
San Bernardino,258.3934121470588,17,4392.688006499999,17
San Diego,381.6394406095237,21,8014.4282528,21
San Joaquin,57.3795433,1,57.3795433,1
San Mateo,169.8688202,1,169.8688202,1
Santa Barbara,2855.209301633334,6,17131.2558098,6
Santa Clara,67.25515366666667,3,201.76546100000002,3
Santa Cruz,20.768070780000002,5,103.8403539,5
Shasta,11132.462395592309,13,144722.01114269998,13
Siskiyou,23921.330041844998,20,478426.6008369,20
Solano,23.101222524999997,4,92.4048901,4
Sonoma,5.157989635714285,14,72.2118549,14
Stanislaus,177.40746616666667,3,532.2223985,3
Sutter,78.67213105,2,157.3442621,2
Tehama,79.00613386666667,6,474.0368032,6
Trinity,55805.18745185,4,223220.74980740002,4
Tulare,21888.638809211112,9,196997.7492829,9
Tuolumne,485.31023168333337,6,2911.8613901,6
Ventura,24.136745433333335,15,362.0511815,15
Yolo,13.8728516,3,41.6185548,3
Yuba,115.44925836666667,15,1731.7388754999997,15
