county,longitude,latitude,elevation_m,date,climate_factor,value
Sierra,-120.52,39.58,2239,2000,ppt_mm,1607.74
Sierra,-120.52,39.58,2239,2000,tmin_degrees_c,0.4
Sierra,-120.52,39.58,2239,2000,tmean_degrees_c,6.4
Sierra,-120.52,39.58,2239,2000,tmax_degrees_c,12.4
Sierra,-120.52,39.58,2239,2000,vpdmin_h_pa,2.16
Sierra,-120.52,39.58,2239,2000,vpdmax_h_pa,11.32
Sierra,-120.52,39.58,2239,2001,ppt_mm,1465.82
Sierra,-120.52,39.58,2239,2001,tmin_degrees_c,0.8
Sierra,-120.52,39.58,2239,2001,tmean_degrees_c,7
Sierra,-120.52,39.58,2239,2001,tmax_degrees_c,13.2
Sierra,-120.52,39.58,2239,2001,vpdmin_h_pa,2.49
Sierra,-120.52,39.58,2239,2001,vpdmax_h_pa,12.92
Sierra,-120.52,39.58,2239,2002,ppt_mm,1418.49
Sierra,-120.52,39.58,2239,2002,tmin_degrees_c,0.3
Sierra,-120.52,39.58,2239,2002,tmean_degrees_c,6.8
Sierra,-120.52,39.58,2239,2002,tmax_degrees_c,13.2
Sierra,-120.52,39.58,2239,2002,vpdmin_h_pa,2.51
Sierra,-120.52,39.58,2239,2002,vpdmax_h_pa,12.57
Sierra,-120.52,39.58,2239,2003,ppt_mm,1483.53
Sierra,-120.52,39.58,2239,2003,tmin_degrees_c,0.9
Sierra,-120.52,39.58,2239,2003,tmean_degrees_c,6.9
Sierra,-120.52,39.58,2239,2003,tmax_degrees_c,12.9
Sierra,-120.52,39.58,2239,2003,vpdmin_h_pa,1.91
Sierra,-120.52,39.58,2239,2003,vpdmax_h_pa,11.79
Sierra,-120.52,39.58,2239,2004,ppt_mm,1382.13
Sierra,-120.52,39.58,2239,2004,tmin_degrees_c,0.6
Sierra,-120.52,39.58,2239,2004,tmean_degrees_c,6.8
Sierra,-120.52,39.58,2239,2004,tmax_degrees_c,13
Sierra,-120.52,39.58,2239,2004,vpdmin_h_pa,2.35
Sierra,-120.52,39.58,2239,2004,vpdmax_h_pa,12.04
Sierra,-120.52,39.58,2239,2005,ppt_mm,2257.76
Sierra,-120.52,39.58,2239,2005,tmin_degrees_c,0.8
Sierra,-120.52,39.58,2239,2005,tmean_degrees_c,6.7
Sierra,-120.52,39.58,2239,2005,tmax_degrees_c,12.6
Sierra,-120.52,39.58,2239,2005,vpdmin_h_pa,2.12
Sierra,-120.52,39.58,2239,2005,vpdmax_h_pa,11.51
Sierra,-120.52,39.58,2239,2006,ppt_mm,1902.24
Sierra,-120.52,39.58,2239,2006,tmin_degrees_c,0.8
Sierra,-120.52,39.58,2239,2006,tmean_degrees_c,6.5
Sierra,-120.52,39.58,2239,2006,tmax_degrees_c,12.2
Sierra,-120.52,39.58,2239,2006,vpdmin_h_pa,2.34
Sierra,-120.52,39.58,2239,2006,vpdmax_h_pa,11.76
Sierra,-120.52,39.58,2239,2007,ppt_mm,1159.2
Sierra,-120.52,39.58,2239,2007,tmin_degrees_c,1.2
Sierra,-120.52,39.58,2239,2007,tmean_degrees_c,7
Sierra,-120.52,39.58,2239,2007,tmax_degrees_c,12.9
Sierra,-120.52,39.58,2239,2007,vpdmin_h_pa,2.71
Sierra,-120.52,39.58,2239,2007,vpdmax_h_pa,12.33
Sierra,-120.52,39.58,2239,2008,ppt_mm,1182.83
Sierra,-120.52,39.58,2239,2008,tmin_degrees_c,1.1
Sierra,-120.52,39.58,2239,2008,tmean_degrees_c,7
Sierra,-120.52,39.58,2239,2008,tmax_degrees_c,12.9
Sierra,-120.52,39.58,2239,2008,vpdmin_h_pa,2.81
Sierra,-120.52,39.58,2239,2008,vpdmax_h_pa,12.9
Sierra,-120.52,39.58,2239,2009,ppt_mm,1449.74
Sierra,-120.52,39.58,2239,2009,tmin_degrees_c,1.1
Sierra,-120.52,39.58,2239,2009,tmean_degrees_c,6.9
Sierra,-120.52,39.58,2239,2009,tmax_degrees_c,12.6
Sierra,-120.52,39.58,2239,2009,vpdmin_h_pa,2.51
Sierra,-120.52,39.58,2239,2009,vpdmax_h_pa,12.17
Sierra,-120.52,39.58,2239,2010,ppt_mm,2189.11
Sierra,-120.52,39.58,2239,2010,tmin_degrees_c,0.2
Sierra,-120.52,39.58,2239,2010,tmean_degrees_c,5.8
Sierra,-120.52,39.58,2239,2010,tmax_degrees_c,11.3
Sierra,-120.52,39.58,2239,2010,vpdmin_h_pa,2
Sierra,-120.52,39.58,2239,2010,vpdmax_h_pa,10.99
