Name,Longitude,Latitude,Elevation (m),Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C),vpdmin (hPa),vpdmax (hPa)
Sierra,-120.52,39.58,2239,2000,1607.74,0.4,6.4,12.4,2.16,11.32
Sierra,-120.52,39.58,2239,2001,1465.82,0.8,7,13.2,2.49,12.92
Sierra,-120.52,39.58,2239,2002,1418.49,0.3,6.8,13.2,2.51,12.57
Sierra,-120.52,39.58,2239,2003,1483.53,0.9,6.9,12.9,1.91,11.79
Sierra,-120.52,39.58,2239,2004,1382.13,0.6,6.8,13,2.35,12.04
Sierra,-120.52,39.58,2239,2005,2257.76,0.8,6.7,12.6,2.12,11.51
Sierra,-120.52,39.58,2239,2006,1902.24,0.8,6.5,12.2,2.34,11.76
Sierra,-120.52,39.58,2239,2007,1159.2,1.2,7,12.9,2.71,12.33
Sierra,-120.52,39.58,2239,2008,1182.83,1.1,7,12.9,2.81,12.9
Sierra,-120.52,39.58,2239,2009,1449.74,1.1,6.9,12.6,2.51,12.17
Sierra,-120.52,39.58,2239,2010,2189.11,0.2,5.8,11.3,2,10.99
Sierra,-120.52,39.58,2239,2011,1526.48,0.1,5.7,11.2,1.96,10.63
Sierra,-120.52,39.58,2239,2012,2041.29,1.5,7.1,12.8,2.48,12.18
Sierra,-120.52,39.58,2239,2013,504.36,1.4,7.3,13.2,2.53,12.43
Sierra,-120.52,39.58,2239,2014,1506.51,2.4,8,13.5,2.73,12.45
Sierra,-120.52,39.58,2239,2015,998.52,2.2,7.9,13.5,2.75,12.04
Sierra,-120.52,39.58,2239,2016,2091.04,1.7,7.2,12.7,2.62,11.72
Sierra,-120.52,39.58,2239,2017,2674.42,1.8,7.2,12.6,2.4,11.4
Sierra,-120.52,39.58,2239,2018,1291.48,2.1,7.7,13.2,2.94,12.22
Sierra,-120.52,39.58,2239,2019,2002.71,1,6.2,11.4,2.15,10.06
Sierra,-120.52,39.58,2239,2020,846.28,2.4,8.1,13.8,3.12,13
Sierra,-120.52,39.58,2239,2021,1483.15,2.4,7.7,12.9,3.6,13.1
Sierra,-120.52,39.58,2239,2022,1172.39,1.7,7.2,12.6,3.08,12.31
Sierra,-120.52,39.58,2239,2023,1767.83,0.4,5.6,10.9,2.11,10.34
Sierra,-120.52,39.58,2239,2024,1786.71,1.1,6.5,11.9,2.15,11.32
,,,,,,,,,,
Sacramento,-121.34,38.45,21,2000,564.37,9.2,16.1,23,1.49,19.39
Sacramento,-121.34,38.45,21,2001,551.37,9.2,16.5,23.7,1.74,21.89
Sacramento,-121.34,38.45,21,2002,425.85,8.5,15.9,23.4,1.61,20.9
Sacramento,-121.34,38.45,21,2003,426.48,9.3,16.2,23.2,1.51,20.15
Sacramento,-121.34,38.45,21,2004,439.9,9.3,16.3,23.2,1.6,20.53
Sacramento,-121.34,38.45,21,2005,556.72,9.5,16.3,23.1,1.64,20.08
Sacramento,-121.34,38.45,21,2006,483.68,9.2,16.1,23.1,1.84,20.54
Sacramento,-121.34,38.45,21,2007,288.64,8.7,16.1,23.5,1.91,21.43
Sacramento,-121.34,38.45,21,2008,352.43,8.7,16.1,23.5,2.32,22.54
Sacramento,-121.34,38.45,21,2009,476.68,8.9,16.1,23.4,1.99,21.51
Sacramento,-121.34,38.45,21,2010,645.11,8.9,15.6,22.2,1.52,18.86
Sacramento,-121.34,38.45,21,2011,455.39,8.2,15.2,22.1,1.46,18.82
Sacramento,-121.34,38.45,21,2012,638.18,9,16.3,23.5,2.09,21.88
Sacramento,-121.34,38.45,21,2013,161.85,8.4,16.2,24,2.19,22.92
Sacramento,-121.34,38.45,21,2014,515.28,10.3,17.6,24.8,2.08,23
Sacramento,-121.34,38.45,21,2015,200.65,9.9,17.2,24.5,2.31,22.9
Sacramento,-121.34,38.45,21,2016,556.72,9.7,16.8,23.8,1.93,21.52
Sacramento,-121.34,38.45,21,2017,694.99,9.8,16.8,23.8,2.12,21.84
Sacramento,-121.34,38.45,21,2018,504.57,9,16.5,23.9,1.81,21.86
Sacramento,-121.34,38.45,21,2019,608.77,9.6,16.5,23.5,1.73,20.92
Sacramento,-121.34,38.45,21,2020,209.6,9.5,17.2,24.9,2.22,24.76
Sacramento,-121.34,38.45,21,2021,491.27,9.5,16.9,24.4,2.23,24.22
Sacramento,-121.34,38.45,21,2022,270.16,8.9,16.9,24.8,2.14,25.75
Sacramento,-121.34,38.45,21,2023,529.12,9.1,16.1,23,1.5,20.51
Sacramento,-121.34,38.45,21,2024,522.2,10.3,17.5,24.8,2.14,24.73
,,,,,,,,,,
Santa Barbar,-120.04,34.54,708,2000,834.84,11.2,16.6,22.1,3.49,17.56
Santa Barbar,-120.04,34.54,708,2001,1227.4,11.2,16.4,21.6,3.52,16.39
Santa Barbar,-120.04,34.54,708,2002,448.35,11.1,16.5,22,4.58,18.37
Santa Barbar,-120.04,34.54,708,2003,606.35,12,17.2,22.5,5.58,19.25
Santa Barbar,-120.04,34.54,708,2004,827.01,11.8,17.1,22.5,5.68,20.09
Santa Barbar,-120.04,34.54,708,2005,1246.37,11.8,17.1,22.4,4.95,18.53
Santa Barbar,-120.04,34.54,708,2006,814.26,11.6,17,22.5,5.3,20.15
Santa Barbar,-120.04,34.54,708,2007,351.54,11.1,16.8,22.5,5.53,20.33
Santa Barbar,-120.04,34.54,708,2008,775.85,11.6,17.3,22.9,6.39,21.14
Santa Barbar,-120.04,34.54,708,2009,531.44,11.6,17.1,22.6,5.7,20.25
Santa Barbar,-120.04,34.54,708,2010,1025.97,10.9,16.2,21.5,4.87,17.85
Santa Barbar,-120.04,34.54,708,2011,635.12,11.2,16.4,21.7,5.15,18.35
Santa Barbar,-120.04,34.54,708,2012,553.68,12.2,17.6,22.9,6.2,20.91
Santa Barbar,-120.04,34.54,708,2013,165.51,12.3,17.7,23.1,6.37,21.19
Santa Barbar,-120.04,34.54,708,2014,487.98,13.4,18.7,24,6.73,22.32
Santa Barbar,-120.04,34.54,708,2015,177.32,13.2,18.4,23.7,5.88,21.56
Santa Barbar,-120.04,34.54,708,2016,544.79,13.1,18.2,23.4,5.89,21.4
Santa Barbar,-120.04,34.54,708,2017,670.31,13,18.2,23.4,6.05,21.19
Santa Barbar,-120.04,34.54,708,2018,529.65,13.1,18.1,23.1,6.11,20.67
Santa Barbar,-120.04,34.54,708,2019,1075.61,12.1,16.9,21.7,5.24,18.2
Santa Barbar,-120.04,34.54,708,2020,454.62,13.1,18.1,23.1,6.78,20.99
Santa Barbar,-120.04,34.54,708,2021,695.78,12.3,17.5,22.6,5.64,19.57
Santa Barbar,-120.04,34.54,708,2022,412.39,12.7,17.6,22.5,6.07,20.27
Santa Barbar,-120.04,34.54,708,2023,1360.45,11.2,15.6,20,4.44,15.42
Santa Barbar,-120.04,34.54,708,2024,834.47,12,16.3,20.7,5.02,17.34
,,,,,,,,,,
Calaveras,-120.56,38.18,484,2000,999.89,8.4,15.6,22.8,2.15,20.61
Calaveras,-120.56,38.18,484,2001,791.54,8.8,16.2,23.7,2.82,23
Calaveras,-120.56,38.18,484,2002,667.42,8.4,15.9,23.4,2.67,22.21
Calaveras,-120.56,38.18,484,2003,645.75,8.8,16.2,23.6,2.55,22.88
Calaveras,-120.56,38.18,484,2004,627.07,8.3,15.9,23.4,2.82,23.18
Calaveras,-120.56,38.18,484,2005,1081.89,8.8,15.9,23.1,2.21,21.87
Calaveras,-120.56,38.18,484,2006,995.05,8.6,15.9,23.2,2.84,23.65
Calaveras,-120.56,38.18,484,2007,546.63,8.2,15.8,23.5,2.87,23.8
Calaveras,-120.56,38.18,484,2008,576,8.3,16,23.7,3.47,25.66
